company_google_maps_url|company_name|company_avg_rating|company_number_of_ratings|company_category|company_address|company_website|company_phone
https://www.google.com/maps/place/DSB+Locadora+e+Construtora/data=!4m5!3m4!1s0x935ef9aea236f98d:0x9ac0e040a6b9e4e7!8m2!3d-16.7982621!4d-49.3192564?authuser=0&hl=pt-BR&rclk=1|DSB Locadora e Construtora|5,0|3 avaliações|Construtora|Avenida Da Da Maria Cardoso - Qd 24 lt 07, GO, 74915-520|Reivindicar esta empresa|
https://www.google.com/maps/place/Veneza+g%C3%A1s+e+agua+casa+de+ra%C3%A7%C3%A3o/data=!4m5!3m4!1s0x935ef90808ba069d:0xc645accdeccf3221!8m2!3d-16.7997156!4d-49.3116873?authuser=0&hl=pt-BR&rclk=1|Veneza gás e agua casa de ração|4,3|6 avaliações|Companhia de gás|Avenidas das nações quadra 6b lote 08 - Parque das Nacoes, Aparecida de Goiânia - GO, 74957-020|(62) 99225-3024|6M2Q+48 Parque das Nacoes, Aparecida de Goiânia - GO
https://www.google.com/maps/place/A+Principal+Transportes/data=!4m5!3m4!1s0x935ef907fd629ed3:0xfa2576116a4fa87!8m2!3d-16.803517!4d-49.31457?authuser=0&hl=pt-BR&rclk=1|A Principal Transportes|3,7|3 avaliações|Mudanças|Rua Grenoble Louvre Q 22 - s/n lt 9A, Aparecida de Goiânia - GO, 74968-492|aprincipalmudancas.com.br|(62) 3278-8100
https://www.google.com/maps/place/Drogaria+Ponto+Da+Sa%C3%BAde+-+Farm%C3%A1cia+Popular/data=!4m5!3m4!1s0x935ef9d551c6b3e7:0x3235e9020955657c!8m2!3d-16.7674144!4d-49.3245694?authuser=0&hl=pt-BR&rclk=1|Drogaria Ponto Da Saúde - Farmácia Popular|3,9|14 avaliações|Farmácia|Avenida da Paz Qd.146, Lt.04 , Sala 1/3 - St. Garavelo, Aparecida de Goiânia - GO, 74930-570|(62) 3288-2631|6MMG+25 St. Garavelo, Aparecida de Goiânia - GO
https://www.google.com/maps/place/W%26E+Company/data=!4m5!3m4!1s0x935ef95874ef46e9:0xcab83bd5898150fc!8m2!3d-16.8233263!4d-49.2843447?authuser=0&hl=pt-BR&rclk=1|W&E Company|5,0|2 avaliações|Loja de Roupa|||
https://www.google.com/maps/place/Gofaster+Mudan%C3%A7as+-+Empresa+de+mudan%C3%A7as+em+Goi%C3%A2nia+-+Mudan%C3%A7as+interestaduais+-+Mudan%C3%A7as+compartilhadas+-+Guarda+m%C3%B3veis/data=!4m5!3m4!1s0x935ef5d3baa766bb:0xa238ac7aae1eb056!8m2!3d-16.7833582!4d-49.3324616?authuser=0&hl=pt-BR&rclk=1|Gofaster Mudanças - Empresa de mudanças em Goiânia - Mudanças interestaduais - Mudanças compartilhadas - Guarda móveis|5,0|30 avaliações|Mudanças|R. C-42, qd 80 - lt 18 - Jardim Boa Esperanca, Aparecida de Goiânia - GO, 74960-056||gofastermudancas.com.br
https://www.google.com/maps/place/Criativo+Company/data=!4m5!3m4!1s0x935ef6c397ffffff:0x5a4e2a19072700cf!8m2!3d-16.7105527!4d-49.3012755?authuser=0&hl=pt-BR&rclk=1|Criativo Company|4,5|2 avaliações||Vila Uniao, Goiânia - GO, 74313-570|7MQX+QF Goiânia, GO|Reivindicar esta empresa
https://www.google.com/maps/place/Mudan%C3%A7as+Residenciais,+Comerciais+e+Industriais+PROMO%C3%87%C3%83O+ESPECIAL/data=!4m5!3m4!1s0x935ef823d613974f:0xeb264b94f101d711!8m2!3d-16.776025!4d-49.342101?authuser=0&hl=pt-BR&rclk=1|Mudanças Residenciais, Comerciais e Industriais PROMOÇÃO ESPECIAL|4,3|7 avaliações|Mudanças|R. 112 - Jardim Tropical, Aparecida de Goiânia - GO, 74946-160|(62) 3588-2381|6MF5+H5 Jardim Tropical, Aparecida de Goiânia - GO
https://www.google.com/maps/place/NTA+Engenharia/data=!4m5!3m4!1s0x935ef9d786788c0b:0x31b365789872762a!8m2!3d-16.7973466!4d-49.3177277?authuser=0&hl=pt-BR&rclk=1|NTA Engenharia|5,0|1 avaliação||R. Cento e Dez - Jardim Tropical, Aparecida de Goiânia - GO, 74946-130|facebook.com|(62) 99131-9523
https://www.google.com/maps/place/Odonto+company/data=!4m5!3m4!1s0x935efba2a35d51bb:0x56d69dbcb10b4fd9!8m2!3d-16.8224456!4d-49.2444127?authuser=0&hl=pt-BR&rclk=1|Odonto company|5,0|3 avaliações|Médico|||
